Rank;#Papers;Author;SU;QE;EX;
1;6;Scanniello, G.;0;0;6;
2;3;Felizardo, K.R.;0;0;3;
3;3;Fucci, D.;0;0;3;
4;2;Kalinowski, M.;2;0;0;
5;2;Fernández-Sáez, A.M.;0;0;2;
6;2;Quesada-López, C.;0;0;2;
7;2;Solari, M.;0;0;1;
8;2;Fernández, D.M.;2;0;0;
9;2;Penzenstadler, B.;0;0;0;
10;2;Farooq, S.U.;0;0;2;
11;1;Fittkau, F.;0;0;1;
12;1;Chatterji, D.;0;0;1;
13;1;Herbold, S.;0;0;0;
14;1;Siebra, C.A.;0;0;0;
15;1;Gravino, C.;0;0;1;
16;1;Sun, P.;1;0;0;
17;1;de Mello, R.M.;1;0;0;
18;1;Albayrak, O.;0;0;1;
19;1;Reimanis, D.;0;0;0;
20;1;Javed, M.A.;0;0;1;
21;1;Yang, H;0;0;1;
22;1;Reynares, E.;0;0;1;
23;1;Howison, J.;0;0;0;
24;1;Salleh, N.;0;0;1;
25;1;Riaz, M.;0;0;1;
26;1;Parrilla, A;0;0;1;
27;1;Pow-Sang, J;0;0;1;
28;1;Tramontana, P.;0;0;1;
29;1;Juristo, N.;0;0;1;
30;1;Felderer, M.;0;0;1;
31;1;Ali, S.;0;0;1;
32;1;Hadar, I.;0;0;1;
33;1;Jung, J.;0;0;1;
34;1;Sun, W.;1;0;0;
35;1;Idri, A.;0;0;1;
36;1;Vegas, S.;0;0;1;
37;1;Massey, A.K.;0;0;0;
38;1;Wohlin, C;0;0;1;
39;1;Grbac, T.G.;0;0;0;
40;1;Gómez, M.N.;0;1;0;
41;1;Vetrò, A.;1;0;0;
42;1;Runeson, P.;0;0;1;
43;1;Itkonen, J.;0;0;1;
44;1;Cavalcanti, G.;0;0;1;
45;1;Arar, Ö.F.;0;0;0;
46;1;Chen, X.;0;0;1;
47;1;Morrison, B.B.;0;0;1;
48;1;Ricca, F.;0;0;1;
49;1;Apa, C.;0;0;1;
50;1;Engelsman, W.;0;1;0;
51;1;Ribeiro, M.;0;0;1;
52;1;Haaranen, L.;0;0;1;
53;1;Ar;0;0;1;
54;1;Ceccato, M.;0;0;1;
55;1;Niu, N.;0;0;0;
56;1;Bavota, G.;0;0;1;
57;1;Marcolino, A.;0;0;1;
58;1;Acuña, S.T.;0;1;0;
59;1;Ghotra, B.;0;0;0;
60;1;Brooks, A.;0;0;1;
61;1;Krein, J.L.;0;0;1;
62;1;Wu, F;0;0;0;
63;1;França, A.C.C.;0;0;0;
64;1;Callele, D.;0;0;1;
65;1;Harder, J.;0;0;1;
66;1;Da Silva, F.Q.B.;0;0;0;
67;1;Bernárdez, B.;0;0;1;
68;1;Donadelli, S.M.;0;0;0;
69;1;Huijgens, H.;0;0;0;
70;1;Santos, J.A.M.;0;0;1;
71;1;Lenarduzzi, V.;0;0;0;
72;1;Mauša, G.;0;0;0;
